freq,int_rt,geo\TIME_PERIOD	1970-Q1 	1970-Q2 	1970-Q3 	1970-Q4 	1971-Q1 	1971-Q2 	1971-Q3 	1971-Q4 	1972-Q1 	1972-Q2 	1972-Q3 	1972-Q4 	1973-Q1 	1973-Q2 	1973-Q3 	1973-Q4 	1974-Q1 	1974-Q2 	1974-Q3 	1974-Q4 	1975-Q1 	1975-Q2 	1975-Q3 	1975-Q4 	1976-Q1 	1976-Q2 	1976-Q3 	1976-Q4 	1977-Q1 	1977-Q2 	1977-Q3 	1977-Q4 	1978-Q1 	1978-Q2 	1978-Q3 	1978-Q4 	1979-Q1 	1979-Q2 	1979-Q3 	1979-Q4 	1980-Q1 	1980-Q2 	1980-Q3 	1980-Q4 	1981-Q1 	1981-Q2 	1981-Q3 	1981-Q4 	1982-Q1 	1982-Q2 	1982-Q3 	1982-Q4 	1983-Q1 	1983-Q2 	1983-Q3 	1983-Q4 	1984-Q1 	1984-Q2 	1984-Q3 	1984-Q4 	1985-Q1 	1985-Q2 	1985-Q3 	1985-Q4 	1986-Q1 	1986-Q2 	1986-Q3 	1986-Q4 	1987-Q1 	1987-Q2 	1987-Q3 	1987-Q4 	1988-Q1 	1988-Q2 	1988-Q3 	1988-Q4 	1989-Q1 	1989-Q2 	1989-Q3 	1989-Q4 	1990-Q1 	1990-Q2 	1990-Q3 	1990-Q4 	1991-Q1 	1991-Q2 	1991-Q3 	1991-Q4 	1992-Q1 	1992-Q2 	1992-Q3 	1992-Q4 	1993-Q1 	1993-Q2 	1993-Q3 	1993-Q4 	1994-Q1 	1994-Q2 	1994-Q3 	1994-Q4 	1995-Q1 	1995-Q2 	1995-Q3 	1995-Q4 	1996-Q1 	1996-Q2 	1996-Q3 	1996-Q4 	1997-Q1 	1997-Q2 	1997-Q3 	1997-Q4 	1998-Q1 	1998-Q2 	1998-Q3 	1998-Q4 	1999-Q1 	1999-Q2 	1999-Q3 	1999-Q4 	2000-Q1 	2000-Q2 	2000-Q3 	2000-Q4 	2001-Q1 	2001-Q2 	2001-Q3 	2001-Q4 	2002-Q1 	2002-Q2 	2002-Q3 	2002-Q4 	2003-Q1 	2003-Q2 	2003-Q3 	2003-Q4 	2004-Q1 	2004-Q2 	2004-Q3 	2004-Q4 	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 	2024-Q4 	2025-Q1 	2025-Q2 	2025-Q3 
Q,IRT_DTD,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.42000 	62.49000 	61.01000 	58.05000 	67.42000 	180.34000 	197.95000 	66.34000 	79.43000 	74.12000 	66.35000 	57.12000 	82.56000 	93.22000 	71.69000 	72.04000 	74.65000 	66.94000 	72.40000 	77.65000 	79.18000 	81.62000 	74.16000 	74.00000 	85.37000 	82.49000 	84.60000 	72.00000 	80.03000 	40.80000 	39.80000 	37.26000 	106.11000 	189.16000 	71.51000 	62.24000 	58.96000 	57.69000 	49.15000 	46.69000 	44.84000 	43.99000 	40.99000 	33.21000 	26.38000 	24.41000 	22.00000 	21.51000 	19.94000 	16.94000 	14.89000 	14.53000 	13.89000 	13.52000 	13.96000 	17.74000 	17.85000 	17.62000 	17.62000 	17.47000 	16.58000 	15.54000 	15.76000 	16.70000 	16.36000 	12.52000 	9.57000 	8.05000 	6.73000 	6.50000 	6.54000 	6.67000 	6.66000 	6.18000 	6.79000 	6.38000 	9.78000 	9.39000 	9.70000 	6.14000 	5.11000 	4.98000 	4.89000 	6.12000 	6.51000 	9.52000 	9.54000 	8.09000 	9.47000 	10.78000 	10.74000 	10.75000 	10.54000 	10.43000 	9.84000 	8.66000 	8.35000 	9.74000 	12.03000 	12.25000 	12.32000 	12.75000 	14.95000 	19.45000 	23.87000 	23.69000 	24.75000 	19.72000 	13.92000 	10.83000 	8.54000 	9.52000 	14.50000 	17.32000 	19.03000 	18.90000 	16.23000 	14.16000 	14.13000 	13.66000 	10.70000 	9.03000 	9.99000 	20.39000 	35.33000 	44.84000 	51.30000 	50.33000 	49.53000 	44.84754 	47.74556 	43.03183 
Q,IRT_DTD,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.94789 	6.13420 	6.83402 	7.16533 	7.33716 	7.21793 	7.37918 	6.92934 	5.78656 	5.16780 	4.92663 	5.02761 	5.65582 b	5.90011 b	5.99859 b	5.83174 b	5.74380 	5.21640 	5.05640 	4.34060 	3.97840 	3.79000 	3.97630 	4.07450 	3.86270 	3.66650 	3.48700 	3.61740 	3.98840 	4.22290 	4.67410 	4.80620 	4.81610 	4.82930 	4.68610 	4.59510 	4.54510 	4.57200 	4.77120 	5.01210 	5.32030 	5.50880 	5.95300 	5.77370 	5.44230 	5.11000 	5.10370 	3.50850 	1.16220 	0.56390 	0.52600 	0.50450 	0.52390 	0.54680 	0.54940 	0.55340 	0.55720 	0.57090 	0.57570 	0.58250 	0.56470 	0.55060 	0.51620 	0.48250 	0.47970 	0.48130 	0.47810 	0.46700 	0.46420 	0.46530 	0.47210 	0.46940 	0.47430 	0.48100 	0.48140 	0.48110 	0.48040 	0.48250 	0.32280 	0.22760 	0.22490 	0.22330 	0.22230 	0.37970 	0.47400 	0.47360 	0.61070 	0.68320 	0.67770 	0.67280 	0.66910 	0.67390 	0.54590 	0.05680 	0.05100 	0.04620 	0.03880 	0.04100 	0.04080 	0.06020 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_DTD,US	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.31 	5.42 	6.16 	5.42 	4.83 	5.20 	5.28 	4.88 	4.66 	5.16 	5.82 	6.51 	6.76 	7.28 	8.10 	9.58 	10.07 	10.18 	10.94 	13.58 	15.07 	12.67 	9.83 	15.85 	16.59 	17.79 	17.60 	13.59 	14.21 	14.51 	11.01 	9.29 	8.66 	8.80 	9.46 	9.43 	9.69 	10.55 	11.39 	9.26 	8.48 	7.92 	7.90 	8.10 	7.83 	6.92 	6.21 	6.27 	6.22 	6.65 	6.84 	6.92 	6.67 	7.16 	7.98 	8.47 	9.45 	9.73 	9.14 	8.61 	8.25 	8.24 	8.16 	7.74 	6.43 	5.86 	5.65 	4.82 	4.02 	3.77 	3.26 	3.04 	3.04 	3.00 	3.06 	2.99 	3.21 	3.94 	4.48 	5.17 	5.74 	6.02 	5.80 	5.72 	5.37 	5.24 	5.31 	5.28 	5.28 	5.52 	5.53 	5.51 	5.52 	5.50 	5.53 	4.86 	4.73 	4.75 	5.09 	5.31 	5.68 	6.27 	6.52 	6.47 	5.60 	4.33 	3.50 	2.13 	1.73 	1.75 	1.74 	1.44 	1.25 	1.25 	1.02 	1.00 	1.00 	1.01 	1.43 	1.95 	2.47 	2.94 	3.46 	3.98 	4.46 	4.91 	5.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M1,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.87 	2.18 	2.00 	3.55 	3.67 	3.81 	4.37 	4.27 	3.79 	4.13 	4.14 	4.50 	3.93 	4.73 	5.76 	5.61 	3.90 	3.80 	5.30 	4.25 	2.30 	3.69 	3.08 	3.46 	2.82 	3.99 	2.81 	2.83 	2.76 	2.76 	2.67 	2.65 	2.69 	2.92 	3.21 	3.53 	3.81 	4.14 	4.63 	5.81 	6.31 	6.51 	6.78 	7.22 	5.83 	4.84 	4.12 	3.25 	2.70 	2.51 	2.27 	2.14 	2.14 	2.07 	2.13 	1.99 	1.74 	1.42 	0.80 	0.66 	0.56 	0.55 	0.49 	0.47 	0.47 	0.45 	0.37 	0.37 	0.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M1,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.84 	10.46 	11.28 	11.15 	11.05 	11.83 	12.63 	12.65 	12.47 	24.70 	15.61 	16.41 	15.62 	15.40 	14.33 	11.84 	8.27 	7.07 	6.38 	5.66 	5.32 	5.30 	5.31 	5.32 	5.20 	5.04 	5.29 	5.09 	4.42 	3.93 	3.17 	2.82 	2.58 	2.47 	2.11 	2.04 	2.03 	2.07 	2.42 	2.53 	2.31 	1.85 	1.77 	1.98 	2.03 	2.05 	2.26 	2.52 	2.54 	2.65 	3.10 	3.59 	3.79 	3.87 	3.72 	3.86 	2.49 	2.02 	1.68 	1.52 	1.24 	1.09 	1.00 	1.01 	0.99 	0.98 	0.97 	0.95 	0.95 	0.95 	0.71 	0.39 	0.32 	0.31 	0.30 	0.30 	0.28 	0.27 	0.27 	0.25 	0.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M1,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.61150 	8.23280 	7.87360 	8.04310 	8.69750 	9.41530 	11.19750 	12.24700 	11.40060 	10.54930 	10.32040 	10.37090 	9.99060 	9.45930 	9.55700 	10.04230 	10.32870 	12.88450 	17.99410 	16.98870 	9.63050 	13.11310 	8.39340 	6.53430 	6.05070 	6.00080 	5.87310 	6.28470 	6.80820 	6.04820 	5.31650 	4.42080 	3.88320 	3.79790 	3.60610 	3.60150 	3.58130 	3.57620 	3.82350 	3.81930 	4.16310 	4.46300 	4.56910 	3.66360 	3.09100 	3.05270 	3.46260 	3.72660 	4.43120 	5.38280 	5.45240 	5.30760 	5.13770 	4.81380 	3.82330 	3.61850 	3.62270 	3.54480 	3.31760 	2.90090 	2.56110 	2.18610 	2.18940 	2.17520 	2.18240 	2.19180 	2.18650 	2.18040 	2.17090 	2.16680 	2.29090 	2.58300 	2.87880 	3.23120 	3.64230 	3.91560 	4.19160 	4.44610 	4.65240 	4.45520 	4.69010 	4.90730 	5.37950 	3.50020 	2.18190 	1.56820 	1.27940 	1.12900 	0.95030 	0.86000 	0.98130 	1.03360 	1.26950 	1.41140 	1.03420 	0.70690 	0.50320 	0.07720 	0.08700 	0.11660 	0.11150 	0.12470 	0.12520 	0.13180 	0.20290 	0.21380 	0.17620 	-0.19460 	-0.27630 	-0.22560 	-0.25850 	-0.21350 	-0.21410 	-0.27540 	-0.28030 	-0.31500 	-0.30090 	-0.33450 	-0.36040 	-0.36550 	-0.35300 	-0.36530 	-0.36570 	-0.39370 	-0.41260 	-0.46480 	-0.48810 	-0.46930 	-0.22390 	-0.27680 	-0.28770 	-0.26300 	-0.25180 	-0.26680 	-0.33230 	-0.34730 	-0.32990 	0.36520 	1.64050 	2.55120 	3.22180 	3.68970 	3.89140 	3.86550 	3.74670 	3.50800 	3.03770 	2.56260 	2.09270 	1.92350 
Q,IRT_M1,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.98330 	6.43000 	6.23330 	6.26670 	6.71670 	7.06670 	6.65670 	6.49670 	5.66670 	5.19330 	5.00000 	4.63330 	4.48670 	4.32330 	4.29330 	4.38000 	4.21000 	4.07000 	3.94670 	3.65670 	3.11040 	2.62300 	2.61050 	3.11630 	3.37310 	4.12860 	4.56040 	4.90720 	4.79330 	4.65390 	4.35760 	3.53100 	3.34350 	3.36430 	3.33780 	3.17950 	2.74480 	2.42210 	2.12640 	2.10620 	2.05920 	2.06350 	2.07680 	2.12230 	2.10600 	2.10420 	2.11150 	2.25110 	2.49670 	2.74250 	3.06440 	3.46240 	3.70530 	3.96150 	4.27810 	4.37010 	4.22500 	4.40900 	4.53940 	3.91930 	1.67400 	0.93590 	0.52580 	0.44780 	0.42080 	0.42530 	0.61380 	0.81000 	0.86400 	1.22070 	1.38010 	1.24410 	0.64350 	0.39370 	0.15740 	0.11010 	0.11680 	0.11680 	0.12690 	0.15640 	0.22660 	0.22110 	0.06650 	0.01350 	-0.00180 	-0.04770 	-0.08790 	-0.14860 	-0.25930 	-0.34850 	-0.37000 	-0.37150 	-0.37180 	-0.37280 	-0.37230 	-0.37100 	-0.36970 	-0.37090 	-0.37000 	-0.36860 	-0.36720 	-0.37350 	-0.41680 	-0.45290 	-0.46910 	-0.46280 	-0.51580 	-0.54690 	-0.55620 	-0.55580 	-0.55800 	-0.57460 	-0.55380 	-0.53590 	0.10160 	1.35530 	2.35830 	3.15380 	3.61820 	3.85360 	3.86330 	3.77290 	3.55350 	3.05480 	2.60660 	2.09050 	1.89320 
Q,IRT_M1,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.41 	0.79 	0.63 	0.62 	0.81 	0.90 	0.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M1,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34.02 	34.90 	31.90 	29.57 	26.54 	24.57 	23.60 	22.85 	21.91 	21.20 	20.30 	20.04 	19.40 	18.43 	17.43 	18.07 	16.21 	15.30 	14.73 	14.64 	12.12 	11.07 	10.91 	11.68 	11.26 	11.27 	11.27 	10.54 	8.89 	8.70 	9.52 	9.35 	5.93 	7.20 	9.69 	10.80 	12.52 	12.30 	11.23 	10.45 	8.76 	7.33 	6.00 	6.11 	6.01 	6.17 	7.16 	8.20 	8.15 	8.04 	7.74 	7.52 	7.63 	8.35 	8.52 	11.37 	10.08 	9.87 	8.41 	7.28 	6.02 	5.08 	4.90 	5.04 	6.15 	6.00 	6.11 	6.99 	7.00 	6.80 	6.77 	6.20 	5.31 	4.58 	3.95 	3.26 	2.87 	2.59 	2.19 	2.12 	2.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M1,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	9.66 	9.32 	9.94 	17.91 	9.17 	7.14 	6.93 	6.88 	6.54 	6.00 	4.56 	4.01 	3.97 	2.69 	3.12 	3.24 	3.30 	2.37 	2.32 	2.28 	2.11 	2.20 	2.22 	2.26 	2.25 	2.24 	2.23 	2.31 	2.56 	2.78 	3.11 	3.50 	3.79 	4.64 	4.99 	6.17 	4.50 	4.61 	4.99 	6.93 	4.42 	3.58 	4.65 	2.19 	1.02 	0.93 	0.98 	1.05 	1.08 	1.36 	1.58 	1.40 	0.91 	0.77 	0.63 	0.53 	0.36 	0.37 	0.29 	0.27 	0.29 	0.28 	0.20 	0.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M1,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.68 	4.98 	7.16 	5.60 	5.29 	9.73 	7.85 	6.39 	6.17 	7.88 	4.66 	4.36 	4.80 	4.76 	6.21 	6.62 	6.73 	6.76 	4.62 	3.94 	3.71 	3.47 	3.41 	3.46 	3.44 	3.87 	4.12 	3.97 	3.93 	4.26 	3.54 	2.69 	2.70 	2.88 	3.99 	3.70 	4.34 	3.55 	4.48 	8.61 	7.36 	8.35 	5.67 	4.21 	4.47 	10.88 	9.00 	14.12 	8.62 	5.06 	1.78 	1.38 	0.99 	0.73 	0.57 	0.54 	0.53 	0.77 	0.83 	0.66 	0.43 	0.32 	0.27 	0.22 	0.17 	0.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M1,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.96 	28.27 	26.88 	25.71 	23.18 	21.85 	19.98 	20.63 	22.24 	22.76 	24.86 	24.95 	24.92 	22.54 	19.14 	16.78 	14.01 	13.35 	13.52 	17.38 	17.57 	18.14 	18.57 	19.65 	19.03 	17.43 	15.61 	13.93 	11.12 	9.97 	8.63 	7.23 	6.51 	5.72 	5.27 	5.46 	5.43 	5.62 	6.37 	6.69 	6.52 	5.62 	4.74 	4.61 	4.32 	4.12 	4.12 	4.13 	4.12 	4.36 	4.80 	5.24 	5.59 	6.18 	6.28 	6.37 	4.54 	3.85 	3.56 	3.58 	3.63 	3.64 	3.55 	3.62 	3.84 	4.29 	4.62 	4.72 	4.74 	4.83 	4.91 	4.60 	3.82 	3.05 	2.63 	2.60 	2.61 	2.62 	2.57 	2.07 	1.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,IRT_M1,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: m	: m	41.70 	44.43 	55.75 	56.71 	52.47 	50.88 	120.70 	105.83 	40.27 	71.14 	104.81 	55.86 	53.75 	86.04 	96.97 	105.32 	69.81 	59.07 	67.38 	42.31 	40.86 	48.38 	48.70 	44.97 	34.63 	34.04 	33.34 	30.03 	24.52 	20.07 	17.10 	17.50 	18.37 	19.81 	20.15 	20.08 	18.79 	17.73 	12.24 	7.85 	6.94 	4.89 	7.17 	8.06 	8.76 	8.42 	7.09 	7.70 	6.65 	7.55 	9.42 	11.23 	12.10 	16.15 	14.73 	11.26 	9.05 	10.31 	6.83 	5.62 	5.85 	4.43 	4.61 	4.51 	5.04 	5.91 	4.45 	4.58 	5.31 	5.58 	5.44 	4.02 	3.41 	2.06 	2.23 	2.15 	1.91 	0.73 	0.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
